Comparison of daily production data for February			
Day	F-150	Silv	Ram
1	2464	1654	1535
2	2520	1630	1500
3	2542	1741	1563
4	2450	1640	1535
5	2521	1748	1559
6	2550	1646	1504
7	2453	1609	1597
8	2538	1705	1593
9	2480	1608	1502
10	2493	1732	1599
11	2545	1687	1505
12	2525	1618	1539
13	2467	1727	1591
14	2535	1706	1584
15	2544	1680	1528
16	2496	1675	1531
17	2543	1610	1586
18	2470	1690	1578
19	2536	1712	1561
20	2549	1728	1565
21	2479	1688	1595
22	2459	1601	1576
23	2499	1653	1559
24	2522	1629	1551
25	2490	1660	1557
26	2498	1717	1522
27	2453	1659	1554
28	2450	1661	1508
